Feature,Importance
Contract,0.2079328677892725
Tenure Months,0.11305113632595917
Charge per Service,0.08826535309520525
Total Charges,0.07236137760371783
tenure_group,0.06995819426159917
Dependents,0.06831810866233867
Monthly Charges,0.06535477992241687
Internet Service_Fiber optic,0.06534481275471793
avg_monthly_spend,0.05681780766638081
Payment Method_Electronic check,0.044145912046111666
CLTV,0.025987151750707416
Internet Service_No,0.022566491238705737
Online Security,0.011538818430479396
High Value Customer,0.011200578681904234
Add-on Services,0.011196313470748126
Tech Support,0.009778417876853912
Paperless Billing,0.009320860951503356
Streaming Movies,0.006838321103867248
Partner,0.005439549806379968
Streaming TV,0.005180377644823854
Phone Service,0.004688073346253807
Senior Citizen,0.004372066569553415
Gender,0.004309967009440927
Online Backup,0.003946642260365066
Multiple Lines,0.0036006117378124592
Payment Method_Mailed check,0.0034763892940794894
Payment Method_Credit card (automatic),0.002704845089567872
Device Protection,0.002304173609233927
